key_resp.keys,key_resp.corr,tilt,HIT,MISS,FALSE ALARM,CORRECT REJECTION,,,,,
up,0,-1,,,1,,,,,,
up,0,-2,,,1,,,Discriminability index (d'): ,,,
down,1,0,1,,,,,criteria,,,
down,1,-3,,,,1,,,,,
up,1,0,1,,,,,,Respond YES,Respond NO,
down,1,4,,,,1,,Signal Present,Hit,Miss, 
up,0,-1,,,1,,,Signal Absent,False Alarm,Correct Rejection,
down,0,0,,,1,,,,,,
up,1,0,1,,,,,,Respond YES,Respond NO,
up,0,-4,,,1,,,Signal Present,72,30,
up,1,0,1,,,,,Signal Absent,58,25,
up,0,-3,,,1,,,,,,
up,1,0,1,,,,,,,,
up,0,4,,,1,,,prop hit = hit/hit+miss,0.705882353,,
down,1,-2,,,,1,,prop fa = fa/fa+corr rejection,0.698795181,,
up,0,-3,,,1,,,,,,
up,0,2,,,1,,,d-prime = z(prop hit)-(prop fa),0.02045662,,
up,0,-1,,,1,,,c = - z(prop hit)-(prop fa)/2,-0.280925853,,
up,0,0,,1,,,,,,,
up,0,3,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
up,0,-2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,0,-5,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
down,1,-1,,,,1,,,,,
up,1,0,1,,,,,,,,
down,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,4,,,1,,,,,,
down,0,0,,1,,,,,,,
up,0,-1,,,1,,,,,,
down,1,-5,,,,1,,,,,
up,0,2,,,1,,,,,,
up,0,4,,,1,,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,-1,,,1,,,,,,
down,1,-3,,,,1,,,,,
up,0,3,,,1,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
down,1,-5,,,,1,,,,,
up,0,0,,1,,,,,,,
down,0,0,,1,,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,0,-3,,,1,,,,,,
up,1,0,1,,,,,,,,
down,1,-2,,,,1,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,0,-2,,,1,,,,,,
up,0,-3,,,1,,,,,,
up,0,2,,,1,,,,,,
up,0,-5,,,1,,,,,,
up,0,-2,,,1,,,,,,
up,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,0,-1,,,1,,,,,,
up,0,1,,,1,,,,,,
up,0,-5,,,1,,,,,,
up,0,-3,,,1,,,,,,
up,0,2,,,1,,,,,,
down,1,1,,,,1,,,,,
up,1,0,1,,,,,,,,
down,1,4,,,,1,,,,,
down,1,4,,,,1,,,,,
up,0,4,,,1,,,,,,
up,1,0,1,,,,,,,,
up,0,-1,,,1,,,,,,
up,0,2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,-2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,0,2,,,1,,,,,,
down,1,0,1,,,,,,,,
up,0,-5,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
down,1,-2,,,,1,,,,,
up,1,0,1,,,,,,,,
up,0,-5,,,1,,,,,,
down,1,-4,,,,1,,,,,
up,1,0,,1,,,,,,,
up,0,-2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,0,0,,1,,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
down,1,3,,,,1,,,,,
up,1,0,1,,,,,,,,
up,0,-4,,,1,,,,,,
up,0,-3,,,1,,,,,,
up,1,0,1,,,,,,,,
up,0,-1,,,1,,,,,,
up,1,0,1,,,,,,,,
down,1,4,,,,1,,,,,
up,1,0,1,,,,,,,,
up,0,0,,1,,,,,,,
up,0,2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,4,,,1,,,,,,
up,0,-4,,,1,,,,,,
up,0,-4,,,1,,,,,,
up,0,-1,,,1,,,,,,
up,0,-4,,,1,,,,,,
down,0,0,,1,,,,,,,
down,1,-3,,,,1,,,,,
down,1,4,,,,1,,,,,
down,0,0,,1,,,,,,,
up,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,-2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
up,0,-5,,,1,,,,,,
down,1,4,,,,1,,,,,
down,1,-3,,,,1,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
down,1,2,,,,1,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,-5,,,1,,,,,,
down,0,0,,1,,,,,,,
up,0,-3,,,1,,,,,,
down,1,-2,,,,1,,,,,
down,1,-4,,,,1,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
up,0,-1,,,1,,,,,,
up,0,2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,0,,1,,,,,,,
up,0,-4,,,1,,,,,,
down,1,1,,,,1,,,,,
up,1,0,1,,,,,,,,
up,0,2,,,1,,,,,,
down,1,4,,,,1,,,,,
up,0,2,,,,1,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,2,,,1,,,,,,
up,1,0,1,,,,,,,,
up,1,0,1,,,,,,,,
up,0,1,,,1,,,,,,
up,0,-2,,,1,,,,,,
down,0,0,,1,,,,,,,
up,1,0,1,,,,,,,,
down,0,0,,1,,,,,,,
,,,,,,,,,,,
,,,72,30,58,25,,,,,
